File Path,Status,Architectural Role / Responsibility,Migration Action / Notes
services/enrichment/musicbrainz_service.py,✅ COMPLIANT,Read-only MusicBrainz service   DOCX,
services/enrichment/spotify_service.py,✅ COMPLIANT,Read-only Spotify fetcher   DOCX,
services/enrichment/single_detection_service.py,💥 VIOLATION,Executes raw SQL UPDATEs   DOCX,Fix Architecture
services/enrichment/ (Others),✅ STABLE,General enrichment logic   DOCX,
services/catalog/downloads/matching/etc.,✅ STABLE,Specialized system boundaries   DOCX,
services/infrastructure/timeout_executor.py,✅ STABLE,Safe thread pooling   DOCX,
services/infrastructure/api_rate_limiter.py,✅ STABLE,Global API rate limiting   DOCX,
services/navidrome/rating_sync_service.py,✅ STABLE,Remote rating synchronization   DOCX,
services/music/*,🗑️ PRUNE,Deprecated facade shims   DOCX,DELETE
"LAYER 6, 7, 8, 9, 10",,,
api_clients/*,✅ STABLE,Pure HTTP networking (20 files)   DOCX,
helpers/task_manager.py,⚠️ CORE INFRASTRUCTURE,Heartbeat/Thread management   DOCX,Migrate to services/
helpers/*,🧩 COMPATIBILITY,Legacy module facades   DOCX,
cli/popularity_cli.py,🗑️ PRUNE,Terminal CLI runner   DOCX,DELETE
routes/blueprint_bootstrap.py,⚠️ MIGRATING,Blueprint registration   DOCX,
routes/navidrome/ratings.py,💥 VIOLATION,Bypasses repository/Raw SQL   DOCX,Move to Repository
routes/scan_routes/control.py,✅ GOLD STANDARD,Master scan controller   DOCX,
routes/*,✅ STABLE,Standard REST handlers   DOCX,
routes/popularity_routes.py,❌ LEGACY HAZARD,Legacy endpoints   DOCX,Replace/Remove
templates/*,✅ STABLE,Jinja2 shells/AJAX logic   DOCX,
_toBeMigrated/*,✅ BACKUP,Raw text backups   DOCX,
__pycache__/*,⚙️ BYTECODE,Compiled Python artifacts   DOCX,
